transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
1,1461,2172,7120.42,2023-05-22 00:12:00,0,Discover,Boston,Pharmacy,24,Purchase at Merchant-2172
2,1824,2095,6912.25,2023-04-26 19:18:00,0,MasterCard,Los Angeles,Pharmacy,64,Purchase at Merchant-2095
3,1493,2243,7184.92,2023-11-15 04:58:00,0,MasterCard,Chicago,Grocery Store,39,Purchase at Merchant-2243
4,1011,2560,4170.23,2023-10-08 11:40:00,0,Visa,Los Angeles,Restaurant,58,Purchase at Merchant-2560
5,1952,2797,1413.39,2023-12-10 22:07:00,0,Discover,Chicago,Gas Station,21,Purchase at Merchant-2797
6,1145,2236,2326.58,2023-10-02 21:48:00,0,Discover,New York,Gas Station,55,Purchase at Merchant-2236
7,1693,2248,7625.9,2023-10-08 03:43:00,0,Visa,Boston,Gas Station,20,Purchase at Merchant-2248
8,1430,2883,3542.4,2023-03-14 11:07:00,0,Amex,Boston,Pharmacy,33,Purchase at Merchant-2883
9,1568,2839,8097.65,2023-03-16 10:34:00,0,Discover,Boston,Restaurant,52,Purchase at Merchant-2839
10,1039,2796,3100.77,2023-11-29 10:31:00,0,Amex,Los Angeles,Gas Station,69,Purchase at Merchant-2796
11,1660,2472,4699.63,2023-02-14 16:03:00,0,Amex,New York,Gas Station,37,Purchase at Merchant-2472
12,1358,2673,6116.54,2023-03-09 18:38:00,0,Discover,New York,Online Shopping,56,Purchase at Merchant-2673
13,1103,2392,9778.96,2023-05-03 06:14:00,0,Discover,San Francisco,Grocery Store,57,Purchase at Merchant-2392
14,1250,2929,2735.78,2023-06-27 08:42:00,0,Visa,Chicago,Gas Station,59,Purchase at Merchant-2929
15,1742,2463,3629.59,2023-09-07 16:28:00,0,Discover,Los Angeles,Online Shopping,62,Purchase at Merchant-2463
16,1386,2417,8834.31,2023-11-16 12:04:00,0,Discover,Boston,Restaurant,47,Purchase at Merchant-2417
17,1820,2650,1537.51,2023-03-08 10:58:00,0,Visa,Boston,Online Shopping,27,Purchase at Merchant-2650
18,1650,2948,3975.62,2023-11-05 20:12:00,0,Amex,New York,Pharmacy,20,Purchase at Merchant-2948
19,1436,2065,4068.84,2023-09-10 02:15:00,0,MasterCard,San Francisco,Online Shopping,52,Purchase at Merchant-2065
20,1307,2033,2691.06,2023-01-07 03:13:00,0,MasterCard,Chicago,Grocery Store,58,Purchase at Merchant-2033
21,1399,2758,9944.03,2023-07-12 22:59:00,0,Discover,Boston,Grocery Store,37,Purchase at Merchant-2758
22,1840,2571,2713.88,2023-07-28 19:08:00,0,Discover,Los Angeles,Pharmacy,41,Purchase at Merchant-2571
23,1547,2783,2079.54,2023-10-10 00:05:00,0,Visa,Boston,Grocery Store,63,Purchase at Merchant-2783
24,1023,2021,6522.97,2023-02-20 23:59:00,0,Discover,San Francisco,Online Shopping,31,Purchase at Merchant-2021
25,1638,2673,3535.37,2023-08-14 09:44:00,0,Discover,Los Angeles,Pharmacy,28,Purchase at Merchant-2673
26,1103,2279,3515.52,2023-12-28 11:31:00,0,Amex,San Francisco,Online Shopping,30,Purchase at Merchant-2279
27,1243,2617,1088.53,2023-11-16 23:15:00,0,Amex,Chicago,Gas Station,67,Purchase at Merchant-2617
28,1593,2343,1266.43,2023-03-15 06:29:00,0,Visa,New York,Online Shopping,39,Purchase at Merchant-2343
29,1634,2236,5308.05,2023-04-18 22:18:00,0,Amex,Chicago,Online Shopping,57,Purchase at Merchant-2236
30,1178,2223,7375.94,2023-02-11 06:24:00,0,MasterCard,Chicago,Grocery Store,30,Purchase at Merchant-2223
31,1580,2466,1292.32,2023-09-29 19:26:00,0,Visa,Los Angeles,Grocery Store,29,Purchase at Merchant-2466
32,1857,2705,1957.67,2023-06-24 10:25:00,0,MasterCard,Los Angeles,Gas Station,72,Purchase at Merchant-2705
33,1392,2551,4823.76,2023-11-16 15:13:00,0,Amex,Chicago,Gas Station,47,Purchase at Merchant-2551
34,1709,2081,9966.14,2023-11-10 13:43:00,0,Visa,Los Angeles,Restaurant,40,Purchase at Merchant-2081
35,1560,2964,3306.61,2023-03-29 21:53:00,0,Discover,San Francisco,Gas Station,57,Purchase at Merchant-2964
36,1450,2060,6529.11,2023-01-15 03:23:00,0,Discover,Los Angeles,Pharmacy,39,Purchase at Merchant-2060
37,1438,2437,2574.61,2023-11-14 08:10:00,0,Discover,Los Angeles,Gas Station,56,Purchase at Merchant-2437
38,1420,2029,475.45,2023-02-11 11:01:00,0,Discover,San Francisco,Grocery Store,23,Purchase at Merchant-2029
39,1747,2704,5936.38,2023-07-27 00:40:00,0,Visa,San Francisco,Online Shopping,59,Purchase at Merchant-2704
40,1545,2179,9024.44,2023-07-20 14:39:00,0,Amex,Boston,Gas Station,70,Purchase at Merchant-2179
41,1870,2700,2952.04,2023-09-24 18:59:00,0,Visa,Boston,Gas Station,19,Purchase at Merchant-2700
42,1652,2698,3734.75,2023-02-22 16:24:00,0,Discover,Boston,Grocery Store,22,Purchase at Merchant-2698
43,1749,2086,8197.46,2023-02-05 01:19:00,0,MasterCard,Los Angeles,Grocery Store,45,Purchase at Merchant-2086
44,1753,2856,7428.61,2023-12-31 04:17:00,0,Discover,Boston,Restaurant,44,Purchase at Merchant-2856
45,1473,2319,6713.34,2023-09-26 10:45:00,0,Visa,Boston,Gas Station,24,Purchase at Merchant-2319
46,1552,2858,4383.28,2023-07-26 18:57:00,0,Visa,San Francisco,Grocery Store,73,Purchase at Merchant-2858
47,1728,2773,8420.22,2023-03-29 18:22:00,0,Amex,San Francisco,Grocery Store,68,Purchase at Merchant-2773
48,1938,2056,411.5,2023-03-08 15:20:00,0,MasterCard,New York,Pharmacy,32,Purchase at Merchant-2056
49,1472,2317,4820.24,2023-12-12 12:50:00,0,MasterCard,San Francisco,Restaurant,57,Purchase at Merchant-2317
50,1599,2345,6484.24,2023-11-23 00:11:00,0,Discover,Boston,Restaurant,24,Purchase at Merchant-2345
51,1868,2135,7429.38,2023-06-28 18:03:00,0,MasterCard,San Francisco,Gas Station,47,Purchase at Merchant-2135
52,1264,2935,6681.8,2023-05-06 03:27:00,0,MasterCard,New York,Restaurant,46,Purchase at Merchant-2935
53,1658,2439,6147.69,2023-12-03 11:42:00,0,MasterCard,Boston,Online Shopping,67,Purchase at Merchant-2439
54,1883,2675,5779.33,2023-09-04 18:13:00,0,MasterCard,New York,Gas Station,23,Purchase at Merchant-2675
55,1426,2320,9283.71,2023-04-18 16:07:00,0,Discover,Los Angeles,Pharmacy,57,Purchase at Merchant-2320
56,1318,2547,9562.5,2023-09-26 04:49:00,0,Discover,Boston,Gas Station,59,Purchase at Merchant-2547
57,1245,2990,2978.17,2023-05-03 22:16:00,0,Discover,Boston,Gas Station,53,Purchase at Merchant-2990
58,1806,2830,7259.04,2023-11-28 18:04:00,0,Discover,Los Angeles,Pharmacy,21,Purchase at Merchant-2830
59,1437,2865,8907.76,2023-08-16 09:35:00,0,Visa,Boston,Pharmacy,69,Purchase at Merchant-2865
60,1779,2265,7524.17,2023-06-20 13:02:00,0,Visa,Chicago,Grocery Store,74,Purchase at Merchant-2265
61,1484,2246,9040.01,2023-10-29 23:18:00,0,Visa,Los Angeles,Online Shopping,59,Purchase at Merchant-2246
62,1749,2086,3501.0,2023-03-26 13:44:00,0,Discover,Chicago,Restaurant,25,Purchase at Merchant-2086
63,1275,2355,2720.58,2023-09-19 19:33:00,0,MasterCard,Los Angeles,Gas Station,59,Purchase at Merchant-2355
64,1188,2842,8548.39,2023-02-24 08:45:00,0,MasterCard,Boston,Pharmacy,70,Purchase at Merchant-2842
65,1172,2998,7745.95,2023-04-17 09:41:00,0,Discover,Chicago,Restaurant,71,Purchase at Merchant-2998
66,1046,2480,3181.66,2023-11-20 07:49:00,0,MasterCard,Boston,Pharmacy,37,Purchase at Merchant-2480
67,1910,2882,1816.9,2023-11-22 17:54:00,0,Amex,Chicago,Pharmacy,58,Purchase at Merchant-2882
68,1374,2731,5140.87,2023-03-28 13:39:00,0,Visa,New York,Restaurant,55,Purchase at Merchant-2731
69,1009,2042,5088.52,2023-08-29 09:20:00,0,Visa,New York,Online Shopping,72,Purchase at Merchant-2042
70,1498,2760,9584.9,2023-07-25 08:08:00,0,Discover,San Francisco,Pharmacy,59,Purchase at Merchant-2760
71,1048,2936,1127.59,2023-02-24 18:31:00,0,Visa,San Francisco,Gas Station,35,Purchase at Merchant-2936
72,1856,2478,492.52,2023-08-15 23:31:00,0,Visa,Chicago,Online Shopping,67,Purchase at Merchant-2478
73,1083,2011,7637.36,2023-01-31 16:50:00,0,MasterCard,New York,Gas Station,42,Purchase at Merchant-2011
74,1357,2001,3275.45,2023-08-18 05:50:00,0,Discover,Chicago,Grocery Store,35,Purchase at Merchant-2001
75,1743,2170,2104.07,2023-03-15 20:39:00,0,Discover,Los Angeles,Restaurant,62,Purchase at Merchant-2170
